et    and, and even
per    through (space)
edo    eat
ex    out of, from
in    in, on, at (space)
p.    people, nation
Non.    Nones (pl.), abb. Non.
ut    to (+ subj), in order that/to
propositio    proposition, premiss/case for discussion
hic    this
ad    about (with numerals)
D.    Decimus (Roman praenomen)
pario    bear
vel    even, actually
quatenus    how far/long?, to what point
sed    but, but also
si    if, if only
A.    Aulus (Roman praenomen)
possum    be able, can
de    down/away from, from, off
sum    to be, exist
demonstratio    demonstration, clear proof
cum    when, at the time/on each occasion/in the situation that
scholium    note
etiam    and also, besides, furthermore, in adition, as well
res    thing
eo    go, walk
sive    or if
is    he/she/it/they (by GENDER/NUMBER)
e    out of, from
Q.    Quintus (Roman praenomen)
idea    idea
corpus    body
affectus    affection, passion, love
nascor    be produced spontaneously, come into existance/being
mens    mind
nec    nor
Deus    God (Christian text)
causa    cause/reason/motive
corollarium    corollary
atque    and, as well/soon as
nihil    nothing
ab    by (agent), from (departure, cause, remote origin/time)
nam    for, on the other hand
ergo    therefore
video    see, look at
necessarium    necessities (pl.), what is needed
nisi    if not
contra    facing, face-to-face, in the eyes
autem    but (postpositive), on the other hand/contrary
quia    because
definitio    definition, precise description
habeo    have, hold, consider, think, reason
tantus    of such size
adeo    approach
enim    namely (postpos)
at    but, but on the other hand
homo    man, human being, person, fellow
laetitia    joy/happiness
ac    and, and also, and besides
modus    manner, mode, way, method
sequor    follow
odio    hate
existentia    existence
seu    or if
tristitia    sadness
ipse    himself/herself/itself
poteo    stink
omnis    each, every, every one (of a number)
ratio    account, reckoning, invoice
essentio    make real
alius    other, another
magus    wise/learned man
eatenus    so far
imaginor    imagine, conceive, picture to oneself
do    give
aut    or, or rather/else
consequenter    consequently/as a result
cujus    of whom?, whose?
item    likewise
eodem    same, the same, the very same
deinde    then/next/afterward
eadem    same, the same, the very same
erga    towards, opposite (friendly)
tamen    yet, nevertheless, still
deus    god
simul    at same time
alium    garlic, garlic plant
igitur    then, therefore
etc.    etcetra, and so forth
oro    burn
debeo    owe
solum    bottom, ground, floor
alter    one (of two)
concipio    take in/up, receive, catch
essentia    essence, substance, being, actuality, essential thing
C.    Gaius (Roman praenomen)
sic    thus, so
nempe    truly, certainly, of course
bonus    good/moral/honest/brave man
malus    mast
humanum    human affairs (pl.), concerns of men
cupiditas    enthusiasm/eagerness/passion
praecedo    go before, precede
neque    nor
potentia    force, power, political power
ille    that
ago    drive, urge, conduct
itaque    and so, accordingly
involvo    wrap (in), cover, envelop
unusquisque    each one
minus    less
amo    love, like
quare    in what way? how? by which means, whereby
invicem    in turn
infinitus    boundless, unlimited, endless
nullus    no, none, not any
hinc    from here, from this source/cause
suus    his men (pl.), his friends
quantus    how great
inter    between, among
tam    so, so much (as)
scilicet    one may know, certainly
absolutus    absolute
ostendo    show
facilis    easy, easy to do, without difficulty, ready, quick, good natured, courteous
sub    under, beneath, behind, at the foot of (rest)
cognitio    examination, inquiry/investigation (judicial)
sinus    bowl for serving wine, etc
praeter    besides, except, contrary to
conor    attempt/try/endeavor, make an effort
substo    hold firm
existo    step forth, appear
propterea    therefore, for this reason
noster    our
necessitas    need/necessity
humanus    human
concomitor    attend, accompany, escort
amor    love, affection
quicquid    whatever, whatsoever
denique    finally, in the end
qu    PACKON w/qui whoever it be, whomever you please
gratia    porularity/esteem/credit (w/bona)
fio    be made, be done
aequum    level ground
quidem    indeed (postpositive), certainly, even, at least
proinde    hence, so then
pateo    stand open, be open
odium    hate/hatred/dislike/antipathy
intelligo    understand
animus    mind
tum    then, next
cur    why, wherefore
refero    bring/carry back/again/home
corporo    kill, strike dead
axioma    axiom, fundamental preposition
semper    always
exemplum    example, sample, specimen
pars    part, region
magnus    large/great/big/vast/huge
duco    lead, command
considero    examine/look at/inspect
verum    truth, reality, fact
claros    beetle infesting beehives
praeterea    besides, thereafter
cogito    think
revera    in fact
quandoquidem    since, seeing that
constituo    set up/in position, erect
afficio    affect, make impression
suus    his/one's (own), her (own), hers, its (own)
absurdus    out of tune, discordant
substantia    nature
praesens    present
geno    give birth to, bring forth, bear
mala    cheeks, jaws
multum    much, greatly, plenty, very
ideo    therefore, for the reason that, for that reason
actus    act, performance (of play), delivery
duo     2th - (ORD, 'in series')
certum    that which is fixed/regular/definite/specified/certain/fact/reliable/settled
unde    from where, whence, from what or which place
unus     1 - (CARD answers 'how many')
tanquam    as, just as, just as if
extra    outside
solus    only, single
quando    when (interog), at what time
primus    chiefs (pl.), nobles
nemo    no one, nobody
intellectus    comprehension/understanding
caput    head
absque    without, apart from, away from
pro    on behalf of
dum    while, as long as, until
qu    PACKON w/qui => whoever
affectio    mental condition, mood, feeling, disposition
utilis    useful, profitable, practical, helpful, advantageous
motus    movement, motion
explicatio    solution/explanation (obscurity/problem)
distinctus    separate, distinct
communis    common/joint/public
actio    act, action, activity, deed
virtus    strength/power
reliquum    that left after subtraction/elimination, remainder, residue, rest
prae    before, in front of
porrus    leek
percipio    secure, gain
conservo    keep safe/intact, save (from danger)
qu    PACKON w/qui => certain
plus    more
nequeo    be unable, cannot
externus    outward, external
exprimo    squeeze, squeeze/press out
contemplo    observe/note/notice, gaze/look hard at, regard
tempus    weather
singularis    alone, unique
satus    sprung (from)
propter    near
post    behind, afterwards, after
obicio    throw before/to, cast
nullus    no one
eundem    same, the same, the very same
determino    delimit/bound, set bounds to
attribuo    assign/allot/attribute/impute to
appeto    seek/grasp after, desire
sanus    sound
pertineo    reach
ordo    row, order/rank
neo    spin
coerceo    enclose, confine
voluntas    will, desire
supra    on top
perfectio    perfection, completion
acquiesco    lie with (w/cum), rest/relax
plerumque    generally, commonly
opero    work
ei    Ah! Woe!, oh dear, alas
dico    say, talk
dico    dedicate, consecrate, set apart
consisto    stop/stand/halt/cease
bona    good/moral/honest/brave woman
sum    highest, the top of
specio    look at, see
species    sight, appearance, show
saepe    often, oft, oftimes, many times, frequently
orior    rise (sun/river)
imaginatio    imagination, fancy
aeternitas    eternity, infinite time
aeterno    immortalize
suum    his property (pl.)
poti    better, preferable, superior
plus    more, too much, more than enough
justum    justice
explico    unfold, extend
effectus    execution, performance
clarus    clear, bright, gleaming
ullus    any
noto    observe
imago    likeness, image, appearance
conceptum    fetus, that which is conceived
aeternus    eternal/everlasting/imperishable
verus    true, real, genuine, actual
uniuscuiusque    each one
tertio    repeat three times
quamdiu    how long (quam diu)
prout    as, just as
namque    for and in fact, on the other hand
multa    fine
metus    fear, anxiety
longus    long
hypothesis    hypothesis
efficio    bring about
convenio    be appropriate to, fit, be correctly shaped/consistent
atqui    but, yet, notwithstanding, however, rather, well/but now
antea    before, before this
adaequo    equalize, make equal in height, come up to level
tempus    time, condition, right time
statim    at once, immediately
postea    afterwards
passio    suffering
nihilominus    never/none the less, notwithstanding, just the same
ens    being
duo     2 - (CARD answers 'how many')
tot    so many, such a number of
multus    much, many, great, many a
relinquo    leave behind, abandon
puto    think, believe, suppose, hold
positivus    positive
Petrus    Peter
usus    use, enjoyment
timor    fear
tantummodo    only, merely
spes    hope/anticipation/expectation
soleo    be in the habit of
reliquus    rest of/remaining/available/left
quicquam    any
primus    first, foremost/best, chief, principal
perinde    in the same way/just as, equally
paucum    only a small/an indefinite number of/few things (pl.), a few words/points
patior    suffer
odeo    hate
mutatio    change, alteration
mirus    wonderful, strange, remarkable, amazing, surprising, extraordinary
minor    those inferior in rank/grade/age, subordinate
licet    it is permitted, one may
indico    point out, show, indicate, expose, betray, reveal
inno    swim or float (in or on)
impossibilis    impossible
huc    here, to this place
gaudium    joy, delight, gladness
gaudeo    be glad, rejoice
equus    horse
duro    harden, make hard
diversus    opposite
differo    put off
cupio    wish/long/be eager for
corporeus    corporeal/material/physical, endowed w/body
contrarius    opponent, adversary
continuus    attendant, one who is always around
contingo    happen, befall, turn out, come to pass, be granted to one
consto    agree/correspond/fit, be correct
confundo    pour/mix/mass/bring together
commiseratio    pathos, rousing of pity (esp. in a speech)
circulus    circle
beatitudo    supreme happiness, blessedness, a blessed condition, beatitude
attineo    hold on/to/near/back/together/fast
ambitio    ambition
admiror    admire, respect
adedo    eat up, eat into/away at, nibble, squander
vito    avoid, shun
vita    life, career, livelihood
virus    venom (sg.), poisonous secretion of snakes/creatures/plants
verro    sweep clean
vereor    revere, respect
utiliter    usefully/profitably/to advantage
utilitas    usefulness, advantage
que    and
unicuique    each one
tribuo    divide, assign
totus    whole, all, entire, total, complete
tot    as/so often, so many times, such a great number of times
tollo    lift, raise
teneo    hold, keep
seipse    he himself, she herself, it itself
scio    know, understand
qu    PACKON w/qui => who then/in the world
putus    pure, unmixed, unadulterated
profecto    surely, certainly
pretium    price/value/worth
praetereo    pass/go by
possibilis    possible
pono    put, place, set
plerus    (w/que) the majority, most, very great part
pecco    sin
paucus    only a small/an indefinite number of people (pl.), few
oppono    oppose
nego    deny, refuse
necessaria    connection (female), she closely connected by friendship/family/obligation
naturalis    natural, normal, typical, characteristic
mors    death
bene    well, very, quite, rightly, agreeably, cheaply, in good style
mano    flow, pour
locus    place, territory/locality/neighborhood/region
lego    read
laeto    gladden, cheer
juvo    help, assist, aid, support, serve, further
judex    judge
ira    anger
indigeo    need, lack, require (w/GEN or ABL)
fortis    strong, powerful, mighty, vigorous, firm, steadfast, courageous, brave, bold
formalis    theoretical
divinus    divine, of a deity/god, godlike
contineo    secure, maintain, sustain
conduco    be of advantage/profitable/expedient
concludo    shut up, confine
conceptus    conception
certus    fixed, settled, firm
beneficium    kindness, favor, benefit, service, help
aversor    turn oneself away in disgust/horror, recoil
apud    at, by, near, among
affectus    endowed with, possessed of
vult    be willing
vis    strength (bodily) (pl.), force, power, might, violence
usque    all the way, right on
universalis    universal. having general application
unio    unite, combine into one
ultra    beyond, further
transeo    go over, cross
statuo    set up, establish, set, place, build
similis    like, similar, resembling
remissus    relaxed/slack/sagging
reddo    return
recordor    think over
qu    PACKON w/qui => whoever it be
quin    why not, in fact
procedo    proceed
praejudicium    precedent, example
pendo    weigh out
opinio    belief, idea, opinion
opera    work, care
obnoxius    liable
nosco    get to know
noster    our men (pl.)
nomen    name, family name
moveo    move, stir, agitate, affect, provoke, disturb
molestus    annoying
misero    pity, feel sorry for
mino    drive (animals)
medium    middle, center
liber    children (pl.)
invidia    hate/hatred/dislike
intensus    eager/intent, closely attentive
injustus    unjust, wrongful
imperium    command
impedio    hinder, impede, hamper, obstruct, prevent from (w/ne, quin, or quominus)
ignarus    ignorant
humilitas    insignificance/unimportance/degradation/debasement/humiliation
generositas    breeding, excellence/nobility (of stock/men/animals/plants)
facultas    means
facio    do, make
erro    wander, go astray
dubito    doubt
diversitas    difference
distantia    distance
delecto    delight, please, amuse, facinate
deduco    lead/draw//pull/bring/stretch down/away/out/off
contrarius    opposite, contrary, in contradiction
conscia    accomplice, accessory
comparo    prepare
avaritia    greed, avarice
aptus    suitable, adapted
apo    fasten, attach, join, connect, bind
antequam    before, sooner than
animositas    boldness, courage, spirit
aliquando    sometime (or other), at any time, ever
admiratio    wonder, surprise, astonishment
vulgus    common people/general public/multitiude/common herd/rabble/crowd/mob
volo    wish, want, prefer
voco    call, summon
vicus    village
verbum    word
unicus    only, sole, single, singular, unique
tardus    slow, limping
talis    such
suppono    place under
superbia    arrogance, pride, haughtiness
supero    overcome, conquer
sufficio    be sufficient, suffice
studeo    desire, be eager for
sol    sun
